OTU	barcode01	barcode02	barcode13	barcode14	barcode25	barcode26	barcode37	barcode38	barcode49	barcode50	barcode61	barcode62	barcode73	barcode74	barcode85	barcode86	Kingdom	Phylum	Class	Order	Family	Genus	Species
FLASV19028.1353	4	6	2	1	0	7	0	1	0	0	2	0	0	0	4	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Lentimicrobiaceae	 g__midas_g_1061	 s__midas_s_7472
FLASV19030.1359	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Ca_Accumulibacter	 s__midas_s_4147
FLASV19031.1341	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__midas_g_1605	 s__midas_s_1605
FLASV19032.1343	9	6	2	10	0	6	1	0	3	5	1	2	6	7	10	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Microbacterium	 s__midas_s_3324
FLASV19034.1312	0	0	1	0	1	0	3	0	0	1	1	0	2	0	2	0	k__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Absconditabacteriales_SR1	 f__midas_f_12243	 g__midas_g_12243	 s__midas_s_19034
FLASV19036.1324	7	0	8	0	4	0	4	0	4	0	0	0	3	0	2	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__Ca_Promineofilaceae	 g__Ca_Leptovillus	 s__midas_s_1196
FLASV19039.1324	0	0	0	0	1	0	6	0	3	0	0	0	4	0	2	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__midas_g_1668	 s__midas_s_2200
FLASV19040.1343	0	4	0	2	0	0	0	1	0	3	0	1	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Demequinaceae	 g__Demequina	 s__Demequina_lutea
FLASV19041.1301	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__midas_f_18027	 g__midas_g_18027	 s__midas_s_18027
FLASV19042.1364	1	0	2	0	0	0	11	0	5	0	0	0	0	0	0	0	k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__midas_f_728	 g__midas_g_5657	 s__midas_s_19042
FLASV19043.1344	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_11634
FLASV19044.1340	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Intrasporangiaceae	 g__Tetrasphaera	 s__midas_s_1378
FLASV19046.1356	0	2	1	2	0	5	1	2	1	0	0	0	1	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Christensenellales	 f__Christensenellaceae	 g__Christensenellaceae_R-7_group	 s__midas_s_785
FLASV19047.1348	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 g__midas_g_422	 s__midas_s_422
FLASV19049.1360	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Polaromonas	 s__midas_s_19049
FLASV1905.1525	1	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__Ca_Cloacimonas	 s__midas_s_1905
FLASV19050.1340	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__midas_g_729	 s__midas_s_9712
FLASV19051.1353	0	2	0	0	0	0	0	1	0	4	0	1	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__env.OPS_17	 g__midas_g_3813	 s__midas_s_3813
