#OTU ID	barcode85	barcode26	barcode73	barcode13	barcode49	barcode01	barcode86	barcode37	barcode38	barcode14	barcode02	barcode62	barcode50	barcode61	barcode25	barcode74
Zotu2508	6	0	0	2	11	1	0	13	14	0	11	9	19	0	2	14
Zotu1411	11	7	31	16	1	25	0	2	6	6	70	3	10	15	7	12
Zotu1504	5	6	8	19	1	18	0	4	1	3	7	1	1	2	9	3
Zotu1382	11	12	14	9	4	16	0	0	3	7	9	3	1	4	11	29
Zotu3762	2	0	2	8	0	4	0	0	0	0	0	0	0	3	10	0
Zotu3052	15	4	23	23	2	28	0	0	5	4	5	1	7	5	14	8
Zotu1556	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	177
Zotu673	9	97	21	50	0	43	0	2	19	74	101	22	6	2	57	0
Zotu1583	11	11	12	21	4	13	0	1	24	10	13	7	45	12	11	25
Zotu3567	11	4	15	7	2	19	0	3	4	7	11	1	6	7	1	4
Zotu4230	4	4	0	1	7	3	0	1	4	10	26	1	4	1	1	4
Zotu1104	15	11	11	24	8	53	0	16	122	9	11	8	56	12	11	12
Zotu3783	4	3	11	13	1	9	0	3	3	7	1	1	6	3	6	8
Zotu1720	4	0	1	12	0	17	0	0	0	0	0	0	0	1	8	175
Zotu3640	9	2	8	15	0	16	0	0	0	0	5	0	0	15	14	2
Zotu1822	1	4	8	36	0	38	0	0	0	0	0	2	0	0	36	0
Zotu2993	12	7	23	12	0	25	0	3	5	31	7	0	5	6	7	6
Zotu2654	6	2	11	8	0	2	0	3	3	4	17	11	34	5	9	0
Zotu1292	21	9	30	24	6	43	0	5	12	12	24	7	18	22	17	2
Zotu2895	4	3	11	2	0	9	0	0	8	3	0	2	10	6	4	10
Zotu614	17	29	41	32	10	37	0	10	6	16	25	6	18	12	25	94
Zotu714	19	8	49	27	0	36	0	0	49	5	5	36	93	17	28	1
Zotu1524	10	5	3	1	35	3	0	21	10	5	4	2	14	7	1	25
Zotu679	6	0	30	136	22	181	0	36	1	0	0	1	0	1	79	0
Zotu148	6	0	6	73	0	84	0	0	1	0	0	0	0	3	39	1702
Zotu205	7	246	30	169	103	236	0	179	62	299	16	32	90	4	74	6
Zotu1532	4	5	6	15	1	17	0	0	21	14	12	26	68	0	13	4
Zotu1230	14	25	12	1	0	0	0	0	21	19	13	18	30	8	0	0
Zotu2938	7	4	7	3	8	2	0	18	2	1	11	1	5	9	1	4
Zotu3021	18	1	2	0	0	0	0	0	0	1	31	0	0	3	0	0
Zotu1803	9	0	41	13	0	14	0	0	0	0	0	0	0	2	8	0
Zotu1689	5	4	4	58	0	64	0	0	0	6	1	2	1	0	73	0
Zotu3040	4	3	3	4	1	7	0	1	1	2	0	0	3	5	2	2
Zotu195	10	32	12	398	76	367	0	105	28	29	15	29	70	6	326	0
Zotu1110	18	15	11	15	64	25	0	64	3	7	17	2	4	7	14	0
Zotu3894	3	0	8	9	0	0	0	0	4	1	0	2	6	0	6	2
Zotu4277	4	4	2	0	11	3	0	14	7	5	23	18	4	2	0	4
Zotu1202	2	1	3	4	0	7	0	0	0	0	1	0	1	2	2	179
Zotu4437	5	2	2	4	0	13	0	2	6	0	7	2	7	3	7	1
Zotu1911	9	0	1	26	0	28	0	0	2	0	0	1	0	3	19	0
Zotu694	13	41	8	19	1	21	0	0	37	35	84	14	45	11	14	0
Zotu1895	4	2	7	37	0	33	0	0	1	4	5	4	0	3	26	0
Zotu4383	1	0	0	10	0	10	0	0	0	0	0	0	0	1	3	0
Zotu1027	16	34	9	9	91	14	0	193	9	60	27	7	15	14	5	30
Zotu645	15	46	33	40	7	44	0	6	21	44	78	18	47	16	23	9
Zotu4029	7	0	7	5	1	5	0	0	5	0	3	0	3	1	2	3
Zotu3739	5	3	18	2	2	15	0	0	4	3	12	1	3	3	2	1
Zotu3603	1	0	0	0	0	1	0	0	1	0	44	0	1	0	0	0
